No.,X,Y,Z,x,y,Lv(cd/m²),u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Date,Time,,,,,,,,,,,,,,,,,,,,
1,2737.4368,2875.5925,4587.2217,0.268369553,0.281913896,2875.5925,0.183618955,0.433993546,12094.27156,0.004486518,480.6027348,26.56020285,5.75,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:19,,,,,,,,,,,,,,,,,,,,
2,2736.6736,2874.2603,4585.8813,0.268385133,0.281878238,2874.2603,0.183644035,0.433972728,12095.49993,0.004458022,480.5906153,26.55936061,5.72,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:19,,,,,,,,,,,,,,,,,,,,
3,2734.5066,2870.7898,4582.7568,0.268403251,0.281780017,2870.7898,0.183694609,0.433911686,12102.61952,0.004395646,480.5622116,26.56491799,5.71,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:20,,,,,,,,,,,,,,,,,,,,
4,2733.0862,2868.729,4580.9775,0.26840242,0.281723205,2868.729,0.183715417,0.433874688,12108.44969,0.00436692,480.5480623,26.57172563,5.72,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:21,,,,,,,,,,,,,,,,,,,,
5,2731.2124,2866.0449,4578.3506,0.268407787,0.281658347,2866.0449,0.1837439,0.433833378,12114.1646,0.004330006,480.5306587,26.57749094,5.75,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:22,,,,,,,,,,,,,,,,,,,,
6,2729.5103,2863.7427,4575.9683,0.268408978,0.281608848,2863.7427,0.183763471,0.433801411,12118.9715,0.004303721,480.5179689,26.58281381,5.74,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:23,,,,,,,,,,,,,,,,,,,,
7,2728.7053,2862.3032,4574.9463,0.268416037,0.281557734,2862.3032,0.183788042,0.43376926,12123.06162,0.004272776,480.5037065,26.5864588,5.72,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:24,,,,,,,,,,,,,,,,,,,,
8,2726.7026,2859.8218,4572.1904,0.268410193,0.281514134,2859.8218,0.183800134,0.433740068,12128.34922,0.004254106,480.4939261,26.59333724,5.75,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:25,,,,,,,,,,,,,,,,,,,,
9,2725.6946,2858.4514,4570.8271,0.26840983,0.281482912,2858.4514,0.183811652,0.433719727,12131.56164,0.004238244,480.486161,26.59704884,5.72,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:26,,,,,,,,,,,,,,,,,,,,
10,2724.5125,2856.6333,4569.3101,0.268412821,0.281429064,2856.6333,0.183834226,0.433685178,12136.56084,0.004208528,480.4720519,26.60230093,5.74,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:27,,,,,,,,,,,,,,,,,,,,
11,2723.6194,2855.3403,4568.3589,0.268407794,0.281388652,2855.3403,0.183845732,0.433658165,12141.41995,0.004190962,480.4629285,26.60855252,5.73,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:28,,,,,,,,,,,,,,,,,,,,
12,2721.9004,2853.2366,4565.9321,0.268403693,0.281354616,2853.2366,0.183855524,0.433635429,12145.49689,0.004176079,480.4552228,26.61377553,5.75,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:29,,,,,,,,,,,,,,,,,,,,
13,2721.46,2852.4514,4565.4141,0.268406414,0.281325558,2852.4514,0.183868539,0.433616941,12148.03639,0.004159316,480.4473999,26.61625808,5.73,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:30,,,,,,,,,,,,,,,,,,,,
14,2719.7478,2850.2341,4563.1104,0.268402549,0.281279793,2850.2341,0.183882942,0.433586607,12153.27844,0.004138225,480.4367204,26.62275732,5.77,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:31,,,,,,,,,,,,,,,,,,,,
15,2718.8176,2849.082,4562.1636,0.268390981,0.28125017,2849.082,0.183885484,0.433565624,12158.05365,0.004130484,480.4316307,26.62984406,5.77,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:32,,,,,,,,,,,,,,,,,,,,
16,2717.8887,2847.7224,4561.0342,0.268389839,0.281210837,2847.7224,0.183899497,0.43353987,12162.23811,0.004110933,480.4220259,26.63473736,5.73,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:33,,,,,,,,,,,,,,,,,,,,
17,2716.6443,2846.1479,4559.4922,0.26838253,0.281176441,2846.1479,0.183907032,0.433516407,12166.86211,0.00409795,480.4148974,26.6410209,5.73,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:34,,,,,,,,,,,,,,,,,,,,
18,2715.7327,2844.7651,4558.1582,0.268388677,0.281140608,2844.7651,0.18392518,0.433494006,12169.58759,0.004075447,480.4047153,26.64319538,5.74,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:35,,,,,,,,,,,,,,,,,,,,
19,2714.4448,2843.1589,4556.4136,0.268384433,0.281110741,2843.1589,0.183933298,0.43347394,12173.2895,0.0040628,480.3981117,26.64798374,5.73,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:36,,,,,,,,,,,,,,,,,,,,
20,2713.0923,2841.5193,4554.6606,0.26837662,0.281080502,2841.5193,0.183938886,0.433453099,12177.57762,0.004052288,480.3921348,26.65394898,5.74,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:37,,,,,,,,,,,,,,,,,,,,
21,2711.8936,2839.9612,4552.9561,0.268376482,0.281050405,2839.9612,0.183950166,0.433433489,12180.68332,0.004036841,480.384657,26.65745922,5.73,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:38,,,,,,,,,,,,,,,,,,,,
22,2711.4656,2839.2249,4552.6914,0.268372078,0.28101728,2839.2249,0.183959401,0.43341127,12184.75432,0.004022613,480.3772838,26.66267353,5.74,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:39,,,,,,,,,,,,,,,,,,,,
23,2710.2815,2837.9023,4551.3008,0.268358397,0.280994765,2837.9023,0.183957677,0.433394579,12189.15754,0.004019917,480.3744196,26.66961309,5.74,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:40,,,,,,,,,,,,,,,,,,,,
24,2709.4148,2836.5654,4550.1377,0.26836204,0.280956049,2836.5654,0.183975052,0.433369911,12192.58069,0.003997549,480.3640472,26.67291499,5.74,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:41,,,,,,,,,,,,,,,,,,,,
25,2708.5764,2835.646,4549.2319,0.268349796,0.280939103,2835.646,0.183972298,0.433357057,12196.19819,0.003996791,480.3622862,26.67875674,5.71,0,INT : 60.00[Hz],AUTO,1,2026/1/26,14:14:42,,,,,,,,,,,,,,,,,,,,
