X,Y,Z,x,y,Lv [cd/m²],u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Integration Time,Date,Time,,,,,,,,,,,,,,,,,,,,
1281.2344,1264.6022,2383.2698,0.259932389,0.256558106,1264.6022,0.187040994,0.41537912,19071.92555,-0.003074918,476.1100453,32.26984683,3.2,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:03,,,,,,,,,,,,,,,,,,,,
1281.2888,1264.5735,2383.4839,0.259930779,0.256539802,1264.5735,0.187047118,0.415365658,19079.34225,-0.00308357,476.1057984,32.27267218,3.28,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:06,,,,,,,,,,,,,,,,,,,,
1281.3049,1264.6021,2383.4365,0.259934188,0.256545745,1264.6021,0.187047401,0.41537046,19075.81568,-0.003082824,476.1064056,32.27087072,3.27,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:09,,,,,,,,,,,,,,,,,,,,
1281.1248,1264.4446,2383.0811,0.259934195,0.256549861,1264.4446,0.187045744,0.415373435,19074.28534,-0.003080625,476.1074555,32.27034408,3.28,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:12,,,,,,,,,,,,,,,,,,,,
1281.1139,1264.3986,2383.1025,0.259933856,0.256542375,1264.3986,0.1870485,0.415367977,19077.19519,-0.003084391,476.1056335,32.2714019,3.28,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:15,,,,,,,,,,,,,,,,,,,,
1280.949,1264.2163,2382.7036,0.259939748,0.256544223,1264.2163,0.18705239,0.415370192,19074.22721,-0.003087613,476.1045305,32.26936131,3.25,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:18,,,,,,,,,,,,,,,,,,,,
1280.9563,1264.2534,2382.6746,0.259940417,0.25655095,1264.2534,0.187050201,0.415375152,19071.47208,-0.003084489,476.1060706,32.26829914,3.25,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:21,,,,,,,,,,,,,,,,,,,,
1280.9341,1264.196,2382.6394,0.259941968,0.256545279,1264.196,0.187053711,0.415371286,19072.97607,-0.003088635,476.1042068,32.26854684,3.28,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:24,,,,,,,,,,,,,,,,,,,,
1280.8463,1264.0865,2382.491,0.259942386,0.256541055,1264.0865,0.187055746,0.415368298,19074.38152,-0.003091196,476.1030157,32.26895689,3.3,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:27,,,,,,,,,,,,,,,,,,,,
1280.7338,1264.0314,2382.1987,0.259943817,0.256553818,1264.0314,0.187051718,0.415377731,19069.09239,-0.003085383,476.1058946,32.26689226,3.27,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:30,,,,,,,,,,,,,,,,,,,,
1280.6726,1263.9089,2382.1174,0.259945376,0.256542753,1263.9089,0.187057413,0.415369971,19072.59337,-0.003092424,476.1026501,32.26782441,3.29,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:33,,,,,,,,,,,,,,,,,,,,
1280.5349,1263.7788,2381.8606,0.259945106,0.256543663,1263.7788,0.187056833,0.415370588,19072.36048,-0.003091743,476.102955,32.26779134,3.29,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:36,,,,,,,,,,,,,,,,,,,,
1280.4597,1263.6782,2381.4839,0.259958996,0.256552015,1263.6782,0.18706439,0.415378698,19063.88656,-0.003097199,476.1013751,32.26247164,3.29,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:39,,,,,,,,,,,,,,,,,,,,
1280.4047,1263.592,2381.5063,0.2599541,0.256540703,1263.592,0.187065106,0.415369794,19069.9767,-0.003099758,476.0997937,32.26541324,3.27,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:42,,,,,,,,,,,,,,,,,,,,
1280.248,1263.4167,2381.1506,0.259958582,0.256540931,1263.4167,0.187068541,0.415370628,19068.15733,-0.003102839,476.0986537,32.26401129,3.29,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:45,,,,,,,,,,,,,,,,,,,,
1280.111,1263.3108,2380.8247,0.259960788,0.256549058,1263.3108,0.187066995,0.415376829,19064.28982,-0.003100064,476.1001403,32.26229972,3.28,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:48,,,,,,,,,,,,,,,,,,,,
1280.032,1263.1887,2380.6118,0.259966601,0.256545831,1263.1887,0.187072872,0.415375367,19063.23679,-0.003105947,476.0977612,32.26093004,3.29,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:51,,,,,,,,,,,,,,,,,,,,
1279.9935,1263.1492,2380.4998,0.259968814,0.256547708,1263.1492,0.187073855,0.415377054,19061.68495,-0.003106523,476.0976492,32.26001299,3.28,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:54,,,,,,,,,,,,,,,,,,,,
1279.8778,1262.9899,2380.3516,0.25996766,0.256537404,1262.9899,0.187077108,0.415369437,19065.95142,-0.003111218,476.095325,32.26167957,3.29,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,14:59:57,,,,,,,,,,,,,,,,,,,,
1279.7938,1262.9141,2379.9749,0.259978929,0.256549965,1262.9141,0.187080903,0.415380195,19056.93665,-0.003112545,476.0955205,32.25662677,3.27,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:00,,,,,,,,,,,,,,,,,,,,
1279.6587,1262.7526,2379.8455,0.259973982,0.256539358,1262.7526,0.187081294,0.415371794,19062.78055,-0.00311469,476.0941334,32.25949384,3.31,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:03,,,,,,,,,,,,,,,,,,,,
1277.4458,1260.402,2374.9819,0.260022406,0.256553163,1260.402,0.187113825,0.415389004,19038.9524,-0.003141909,476.0847053,32.24289992,3.28,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:06,,,,,,,,,,,,,,,,,,,,
1236.8583,1218.6434,2292.7639,0.260486334,0.256650218,1218.6434,0.187439686,0.415528444,18825.93418,-0.003421389,475.9834333,32.08865721,3.32,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:09,,,,,,,,,,,,,,,,,,,,
1195.8153,1177.3601,2210.7029,0.260874138,0.256848028,1177.3601,0.187664788,0.415729189,18609.73659,-0.003592097,475.9238363,31.9455365,3.26,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:12,,,,,,,,,,,,,,,,,,,,
1155.0625,1135.8016,2129.6016,0.261298827,0.256941616,1135.8016,0.187961044,0.415860201,18420.38417,-0.003844849,475.8231755,31.80500285,3.29,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:15,,,,,,,,,,,,,,,,,,,,
1113.0599,1093.9739,2045.2172,0.261757808,0.257269362,1093.9739,0.18818917,0.416165015,18143.59155,-0.00399561,475.7779252,31.62328594,3.27,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:18,,,,,,,,,,,,,,,,,,,,
1071.4316,1052.1632,1962.5698,0.262209604,0.257494081,1052.1632,0.188453252,0.416394334,17910.41345,-0.004196226,475.7049872,31.45730326,3.32,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:21,,,,,,,,,,,,,,,,,,,,
1029.7147,1010.1784,1880.9944,0.262622863,0.257640241,1010.1784,0.18871882,0.416561276,17720.59517,-0.004411415,475.620721,31.31329825,3.27,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:24,,,,,,,,,,,,,,,,,,,,
987.51245,967.52698,1798.6055,0.263080944,0.25775666,967.52698,0.189031663,0.416713508,17528.29184,-0.004674267,475.5135347,31.15967763,3.28,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:27,,,,,,,,,,,,,,,,,,,,
944.89252,924.94653,1715.5879,0.26353696,0.257973888,924.94653,0.189301697,0.416937773,17309.89388,-0.004880721,475.4350324,30.99340708,3.3,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:30,,,,,,,,,,,,,,,,,,,,
933.13123,912.90112,1694.1003,0.263586516,0.257872009,912.90112,0.189382241,0.416872057,17324.02788,-0.004971163,475.3905132,30.99186048,3.32,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:33,,,,,,,,,,,,,,,,,,,,
933.60132,913.49823,1695.6688,0.263523106,0.257848705,913.49823,0.189341881,0.416845826,17352.09272,-0.004938735,475.4034702,31.0140719,3.32,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:36,,,,,,,,,,,,,,,,,,,,
933.93365,913.97864,1696.8929,0.263465437,0.25783607,913.97864,0.189301679,0.416828117,17375.09841,-0.004904596,475.4176899,31.03314531,3.31,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:39,,,,,,,,,,,,,,,,,,,,
934.28247,914.44116,1697.9191,0.263427286,0.257832894,914.44116,0.189272969,0.416820123,17388.77663,-0.0048792,475.4285721,31.04508109,3.3,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:42,,,,,,,,,,,,,,,,,,,,
934.59814,914.95197,1698.9806,0.263376089,0.257839665,914.95197,0.189229941,0.41681732,17403.81181,-0.004839141,475.4463229,31.05964583,3.3,0,NTSC : 59.94[Hz],SLOW,1,Double-Frame,2025/10/11,15:00:45,,,,,,,,,,,,,,,,,,,,
