No.,X,Y,Z,x,y,Lv(cd/m²),u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Date,Time,,,,,,,,,,,,,,,,,,,,
2,2034.5056,2171.2246,3420.9807,0.266760551,0.284686889,2171.2246,0.181385808,0.435543646,12059.44524,0.00694559,481.5725016,26.75915268,5.41,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:46:55,,,,,,,,,,,,,,,,,,,,
3,2305.1143,2464.439,3879.2126,0.266525228,0.284946896,2464.439,0.181115248,0.435675502,12068.56869,0.007229079,481.6750449,26.80525506,5.41,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:46:56,,,,,,,,,,,,,,,,,,,,
4,2553.1943,2734.9995,4302.3179,0.266220863,0.285177641,2734.9995,0.18080467,0.435778247,12090.53694,0.007541962,481.7823352,26.87673069,5.4,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:46:57,,,,,,,,,,,,,,,,,,,,
5,2622.5696,2812.2546,4423.1919,0.266034218,0.285275919,2812.2546,0.180630292,0.435813537,12108.18451,0.007711872,481.8376653,26.92541305,5.43,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:46:58,,,,,,,,,,,,,,,,,,,,
6,3510.0291,3786.175,5945.333,0.265077164,0.285931684,3786.175,0.179682089,0.436091149,12183.72632,0.008658049,482.1417671,27.16038833,5.4,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:46:59,,,,,,,,,,,,,,,,,,,,
7,3502.9055,3781.2375,5942.1724,0.264843639,0.285887444,3781.2375,0.179525736,0.436028392,12222.22146,0.008786249,482.1674337,27.24050643,5.4,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:00,,,,,,,,,,,,,,,,,,,,
8,3498.0588,3777.3184,5938.6836,0.264722469,0.285855988,3777.3184,0.17944771,0.4359904,12243.10647,0.008848543,482.178849,27.28300068,5.4,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:01,,,,,,,,,,,,,,,,,,,,
9,3494.1514,3773.8145,5935.3037,0.264642888,0.28582424,3773.8145,0.179400508,0.435958366,12257.95517,0.00888392,482.183918,27.31211361,5.41,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:02,,,,,,,,,,,,,,,,,,,,
10,3490.8733,3770.7444,5932.1099,0.264585825,0.285798261,3770.7444,0.179367832,0.435933341,12268.94116,0.008907687,482.1868481,27.33333808,5.37,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:03,,,,,,,,,,,,,,,,,,,,
11,3487.9221,3767.8076,5929.1514,0.264539519,0.285767279,3767.8076,0.179344926,0.435906709,12278.85753,0.008922027,482.1870732,27.35163639,5.42,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:04,,,,,,,,,,,,,,,,,,,,
12,3484.8892,3764.6982,5925.7046,0.264501857,0.285739261,3764.6982,0.179327323,0.435883244,12287.21608,0.008932283,482.186644,27.36682502,5.4,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:05,,,,,,,,,,,,,,,,,,,,
13,3482.1304,3761.812,5922.4463,0.264471183,0.285713272,3761.812,0.17931414,0.435862107,12294.34952,0.008939054,482.1856075,27.37953953,5.39,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:06,,,,,,,,,,,,,,,,,,,,
14,3479.5515,3759.0571,5919.3716,0.264444196,0.285686484,3759.0571,0.179303973,0.435841001,12301.02632,0.008943052,482.1838459,27.39115189,5.43,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:07,,,,,,,,,,,,,,,,,,,,
15,3476.8088,3756.0767,5916.0073,0.26441837,0.285657261,3756.0767,0.179295549,0.435818509,12307.78374,0.008945086,482.1813844,27.40265437,5.38,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:08,,,,,,,,,,,,,,,,,,,,
16,3474.1113,3753.1016,5912.6616,0.264394557,0.285626898,3753.1016,0.179289029,0.435795584,12314.36552,0.008945254,482.1783768,27.41363106,5.42,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:09,,,,,,,,,,,,,,,,,,,,
17,3471.5112,3750.2512,5909.2563,0.264374858,0.285602457,3750.2512,0.179283387,0.43577705,12319.7481,0.008945732,482.1760369,27.42263834,5.42,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:10,,,,,,,,,,,,,,,,,,,,
18,3468.937,3747.4204,5906.0122,0.264352941,0.285574977,3747.4204,0.179277215,0.435756244,12325.77146,0.008946123,482.1733737,27.43269043,5.42,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:11,,,,,,,,,,,,,,,,,,,,
19,3466.5388,3744.7861,5902.6719,0.264338847,0.285556429,3744.7861,0.179273565,0.435742303,12329.73692,0.008945936,482.1714725,27.43924983,5.4,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:12,,,,,,,,,,,,,,,,,,,,
20,3464.3682,3742.3545,5899.939,0.264321173,0.285530716,3742.3545,0.179269883,0.435723249,12334.96203,0.008944476,482.1685594,27.44774194,5.41,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:13,,,,,,,,,,,,,,,,,,,,
21,3461.6204,3739.2705,5896.3784,0.264300926,0.285500009,3739.2705,0.17926612,0.435700621,12341.08083,0.00894218,482.1649546,27.45760635,5.39,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:14,,,,,,,,,,,,,,,,,,,,
22,3459.3459,3736.7563,5893.2207,0.264287613,0.285481253,3736.7563,0.179263122,0.435686658,12344.96232,0.008941389,482.1628958,27.46393654,5.38,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:15,,,,,,,,,,,,,,,,,,,,
23,3457.1125,3734.261,5890.2939,0.264271548,0.285457571,3734.261,0.179259888,0.435669137,12349.75619,0.008939909,482.1601862,27.47168887,5.38,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:16,,,,,,,,,,,,,,,,,,,,
24,3454.572,3731.4324,5886.8477,0.264255418,0.285433689,3731.4324,0.179256678,0.435651477,12354.58449,0.008938373,482.1574451,27.4794842,5.39,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:17,,,,,,,,,,,,,,,,,,,,
25,3452.1785,3728.71,5883.8018,0.264237301,0.285403627,3728.71,0.179254252,0.435629568,12360.34232,0.008935029,482.15367,27.48859151,5.39,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:18,,,,,,,,,,,,,,,,,,,,
26,3449.9688,3726.2102,5880.8784,0.264222535,0.285379017,3726.2102,0.179252315,0.435611639,12365.05092,0.00893225,482.1505717,27.49602607,5.39,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:19,,,,,,,,,,,,,,,,,,,,
27,3447.8494,3723.8052,5878.1484,0.264207008,0.285353365,3723.8052,0.179250196,0.435592931,12369.98348,0.008929443,482.1473648,27.50381901,5.41,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:20,,,,,,,,,,,,,,,,,,,,
28,3445.416,3721.042,5875.0103,0.264189271,0.285323854,3721.042,0.17924785,0.435571424,12375.64502,0.008926132,482.143659,27.51274371,5.38,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:21,,,,,,,,,,,,,,,,,,,,
29,3443.0298,3718.3704,5871.7739,0.264174312,0.285300447,3718.3704,0.179245331,0.435554232,12380.27303,0.008924082,482.140855,27.52010971,5.43,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:22,,,,,,,,,,,,,,,,,,,,
30,3440.7527,3715.7661,5868.7896,0.26415902,0.285272792,3715.7661,0.179244116,0.435534271,12385.38978,0.008920123,482.1371881,27.52804442,5.42,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:23,,,,,,,,,,,,,,,,,,,,
31,3438.4312,3713.1226,5865.8501,0.264141086,0.285242943,3713.1226,0.179241747,0.435512512,12391.13214,0.008916773,482.1334466,27.5370695,5.41,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:24,,,,,,,,,,,,,,,,,,,,
32,3436.0535,3710.408,5862.7192,0.26412528,0.285214579,3710.408,0.17924041,0.435492016,12396.40928,0.008912793,482.1297091,27.54524674,5.4,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:25,,,,,,,,,,,,,,,,,,,,
33,3433.9548,3707.9897,5860.0039,0.264110785,0.285187234,3707.9897,0.17923967,0.435472364,12401.39066,0.008908477,482.1259972,27.55289087,5.36,0,INT : 60.00[Hz],SLOW,1,2025/6/19,14:47:26,,,,,,,,,,,,,,,,,,,,
